code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category,special_chars_2019,special_chars_2021,special_chars_2020
CR105,CR,Chemical and Biopharmaceutical Engineering,432.0,498.0,443.0,,,,,443.0,,Cork Institute of Technology,Engineering and engineering trades,NaN,NaN,
CR106,CR,Software Development,351.0,393.0,411.0,,,,,431.0,,Cork Institute of Technology,Information and Communication Technologies (ICTs),NaN,NaN,
CR108,CR,Mechanical Engineering,425.0,487.0,434.0,,,,,434.0,,Cork Institute of Technology,Engineering and engineering trades,NaN,NaN,
CR109,CR,Structural Engineering,341.0,467.0,394.0,,,,,396.0,,Cork Institute of Technology,Architecture and construction,NaN,NaN,
CR110,CR,Automotive Business Management and Technology,318.0,347.0,311.0,,,,,336.0,,Cork Institute of Technology,Transport services,NaN,NaN,
CR112,CR,Creative Digital Media at CIT Crawford College of,335.0,389.0,361.0,,,,,390.0,,Cork Institute of Technology,Arts,NaN,NaN,
CR116,CR,Computer Systems,318.0,381.0,332.0,,,,,365.0,,Cork Institute of Technology,Information and Communication Technologies (ICTs),NaN,NaN,
CR121,CR,Music at CIT Cork School of Music,633.0,1052.0,868.0,,,,#,904.0,904.0,Cork Institute of Technology,Arts,#,#,#
CR125,CR,Popular Music at CIT Cork School of Music,972.0,1021.0,1088.0,,,,#,1028.0,,Cork Institute of Technology,Arts,#,#,#
CR130,CR,Musical Theatre at CIT Cork School of Music,500.0,600.0,548.0,518.0,,,#,525.0,,Cork Institute of Technology,Arts,#,#,#
CR150,CR,Business Information Systems,326.0,371.0,335.0,,,,,350.0,,Cork Institute of Technology,Business and administration,NaN,NaN,
CR210,CR,Contemporary Applied Art (Ceramics  Glass  Textile,979.0,979.0,,,,,#,450.0,,Cork Institute of Technology,Arts,#,#,#
CR220,CR,Fine Art at CIT Crawford College of Art and Design,620.0,819.0,,,,,#,400.0,,Cork Institute of Technology,Arts,#,#,#
CR225,CR,Photography with New Media at CIT Crawford College,920.0,920.0,,,,,#,435.0,,Cork Institute of Technology,Arts,#,#,#
CR305,CR,Physical Sciences (Common Entry),279.0,309.0,282.0,,,,,260.0,,Cork Institute of Technology,Physical sciences,NaN,NaN,
CR310,CR,IT Management,282.0,317.0,297.0,,,,,347.0,,Cork Institute of Technology,Information and Communication Technologies (ICTs),NaN,NaN,
CR320,CR,Biomedical Science - Offered jointly by CIT and UC,546.0,556.0,565.0,,,,,590.0,,Cork Institute of Technology,Biological and related sciences,NaN,*,
CR325,CR,Pharmaceutical Biotechnology,388.0,422.0,398.0,,,,,466.0,,Cork Institute of Technology,Biological and related sciences,NaN,NaN,
CR333,CR,Nutrition and Health Science,360.0,393.0,402.0,,,,,425.0,,Cork Institute of Technology,Health,NaN,NaN,
CR335,CR,Biological Sciences (Common Entry),381.0,419.0,420.0,,,,,473.0,,Cork Institute of Technology,Biological and related sciences,NaN,NaN,
CR340,CR,Analytical Chemistry with Quality Assurance,288.0,315.0,251.0,,,,,327.0,,Cork Institute of Technology,Physical sciences,NaN,NaN,
CR360,CR,Instrument Engineering,291.0,329.0,261.0,,,,,301.0,,Cork Institute of Technology,Physical sciences,NaN,NaN,
CR365,CR,Environmental Science and Sustainable Technology,334.0,362.0,253.0,,,,,262.0,,Cork Institute of Technology,Environment,NaN,NaN,
CR370,CR,Agri-Biosciences,408.0,431.0,397.0,,,,,368.0,,Cork Institute of Technology,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",NaN,NaN,
CR400,CR,Accounting,316.0,389.0,316.0,,,,,315.0,,Cork Institute of Technology,Business and administration,NaN,NaN,
CR420,CR,Marketing,288.0,329.0,285.0,,,,,290.0,,Cork Institute of Technology,Business and administration,NaN,NaN,
CR425,CR,International Business with Language,300.0,392.0,298.0,,,,,279.0,,Cork Institute of Technology,Business and administration,NaN,NaN,
CR430,CR,Sport and Exercise Management,,,322.0,,,,,402.0,,Cork Institute of Technology,Personal services,NaN,NaN,
CR435,CR,Coaching Science and Sports Pedagogy,,,,,,,,410.0,,Cork Institute of Technology,,NaN,NaN,
CR440,CR,Montessori Education,,,288.0,,,,,409.0,408.0,Cork Institute of Technology,Education,NaN,NaN,
CR500,CR,Engineering (Common Entry),381.0,424.0,411.0,,,,,475.0,,Cork Institute of Technology,Engineering and engineering trades,NaN,NaN,
CR510,CR,Sustainable Energy Engineering,319.0,343.0,320.0,,,,,320.0,,Cork Institute of Technology,Environment,NaN,NaN,
CR520,CR,Biomedical Engineering,434.0,477.0,444.0,,,,,444.0,,Cork Institute of Technology,Health,NaN,NaN,
CR560,CR,Architectural Technology,288.0,332.0,308.0,,,,,375.0,,Cork Institute of Technology,Architecture and construction,NaN,NaN,
CR565,CR,Interior Architecture,336.0,390.0,359.0,,,,,431.0,,Cork Institute of Technology,Architecture and construction,NaN,NaN,
CR570,CR,Quantity Surveying,279.0,342.0,336.0,,,,,375.0,,Cork Institute of Technology,Architecture and construction,NaN,NaN,
CR572,CR,Construction Management,253.0,300.0,269.0,,,,,300.0,,Cork Institute of Technology,Architecture and construction,NaN,NaN,
CR580,CR,Electrical Engineering,344.0,374.0,318.0,,,,,342.0,,Cork Institute of Technology,Engineering and engineering trades,NaN,NaN,
CR590,CR,Electronic Engineering,342.0,411.0,303.0,,,,,329.0,,Cork Institute of Technology,Engineering and engineering trades,NaN,NaN,
CR600,CR,Visual Communications at CIT Crawford College of A,587.0,888.0,,,,,#,280.0,,Cork Institute of Technology,Arts,#,#,#
CR660,CR,Tourism Management,249.0,290.0,252.0,,,,,246.0,,Cork Institute of Technology,Personal services,NaN,NaN,
