,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
347,Business and administration,Global Business (Germany),DC113,,,,,,,,8,Dublin City University,,,
348,Business and administration,Global Business (Spain),DC114,,,,,,,,8,Dublin City University,,,
349,Business and administration,Accounting and Finance,DC115,,,,,,,,8,Dublin City University,,,
350,Business and administration,Global Business (USA),DC116,,,,,,,,8,Dublin City University,,,
351,Engineering and engineering trades,Aviation Management / Aviation Management with Pilot Studies,DC117,,,,,,,,8,Dublin City University,,,
352,Business and administration,Gnó agus Gaeilge / Business and Irish,DC118,,,,,,,,8,Dublin City University,,,
353,Business and administration,Global Business (Canada),DC119,,,,,,,,8,Dublin City University,,,
354,Information and Communication Technologies (ICTs),Enterprise Computing,DC120,,,,,,,,8,Dublin City University,,,
355,Information and Communication Technologies (ICTs),Computer Applications,DC121,,,,,,,,8,Dublin City University,,,
356,Information and Communication Technologies (ICTs),Data Science,DC123,,,,,,,,8,Dublin City University,,,
357,Mathematics and statistics,Actuarial Mathematics,DC126,,,,,,,,8,Dublin City University,,,
358,Mathematics and statistics,Common Entry into Actuarial and Financial Mathematics,DC127,,,,,,,,8,Dublin City University,,,
359,Humanities (except languages),Communication Studies,DC131,,,,,,,,8,Dublin City University,,,
360,Journalism and information,Journalism,DC132,,,,,,,,8,Dublin City University,,,
361,Arts,Multimedia,DC133,,,,,,,,8,Dublin City University,,,
362,Languages,Applied Language and Translation Studies,DC155,,,,,,,,8,Dublin City University,,,
363,Physical sciences,Analytical Science,DC161,,*,,,,,,8,Dublin City University,,,
364,Physical sciences,Chemical and Pharmaceutical Sciences,DC162,,,,,,,,8,Dublin City University,,,
365,Environment,Environmental Science and Technology,DC166,,,,,,,,8,Dublin City University,,,
366,Biological and related sciences,Genetics and Cell Biology,DC168,,*,,,,,,8,Dublin City University,,,
367,Physical sciences,Physics General Entry (options),DC175,,,,,,,,8,Dublin City University,,,
368,Biological and related sciences,Biotechnology,DC181,,,,,,,,8,Dublin City University,,,
369,Engineering and engineering trades,Electronic and Computer Engineering (with choice of four majors),DC190,,,,,,,,8,Dublin City University,,,
370,Engineering and engineering trades,Mechatronic Engineering,DC193,,,,,,,,8,Dublin City University,,,
371,Engineering and engineering trades,Mechanical and Manufacturing Engineering,DC195,,,,,,,,8,Dublin City University,,,
372,Health,Biomedical Engineering,DC197,,,,,,,,8,Dublin City University,,,
373,Engineering and engineering trades,Common Entry into Engineering (Undenominated Entry),DC200,,,,,,,,8,Dublin City University,,,
374,Biological and related sciences,Common Entry into Science (Undenominated Entry),DC201,,*,,,,,,8,Dublin City University,,,
375,Health,Sport Science and Health,DC202,,,,*,,*,,8,Dublin City University,,,
376,Education,Science Education,DC203,,,,,,,,8,Dublin City University,,,
377,Health,Athletic Therapy and Training,DC204,,,,,,,,8,Dublin City University,,,
378,Education,Physical Education with Biology,DC205,,,,,,,,8,Dublin City University,,,
379,Education,Physical Education with Mathematics,DC206,,,,,,,,8,Dublin City University,,,
380,Social and behavioural sciences,Psychology,DC208,,,,,,,,8,Dublin City University,,,
381,Health,Health and Society,DC209,,,,,,,,8,Dublin City University,,,
382,Health,General Nursing,DC215,,,,,,,,8,Dublin City University,,,
383,Health,Mental Health Nursing,DC216,,,,,,,,8,Dublin City University,,,
384,Health,Intellectual Disability Nursing,DC217,,,,,,,,8,Dublin City University,,,
385,Health,Children`s and General Nursing (Integrated),DC218,,,,,,,,8,Dublin City University,,,
386,Social and behavioural sciences,"Economics, Politics and Law",DC230,,,,,,,,8,Dublin City University,,,
